combination,activity,a1,a2,a3,a4,a5,a6
0.0,Standing,7872.0,10.0,8.0,62.0,92.0,30.0
0.0,Sitting,42.0,9805.0,707.0,5.0,13.0,4.0
0.0,Pointing,512.0,158.0,4126.0,8.0,0.0,3.0
0.0,Phone,3279.0,0.0,0.0,3430.0,58.0,50.0
0.0,Tablet,1631.0,11.0,5.0,1115.0,4818.0,177.0
0.0,Paper,139.0,26.0,12.0,19.0,12.0,7491.0
1.0,Standing,8082.0,12.0,2.0,43.0,98.0,8.0
1.0,Sitting,48.0,9493.0,912.0,5.0,17.0,2.0
1.0,Pointing,501.0,156.0,4958.0,0.0,0.0,3.0
1.0,Phone,2873.0,4.0,1.0,3875.0,160.0,8.0
1.0,Tablet,1525.0,6.0,0.0,1130.0,5284.0,22.0
1.0,Paper,1467.0,27.0,4.0,357.0,25.0,5983.0
2.0,Standing,7623.0,3.0,4.0,44.0,104.0,12.0
2.0,Sitting,73.0,9708.0,728.0,1.0,8.0,2.0
2.0,Pointing,560.0,179.0,4542.0,2.0,0.0,1.0
2.0,Phone,3418.0,0.0,1.0,3140.0,187.0,11.0
2.0,Tablet,286.0,1.0,9.0,770.0,6714.0,12.0
2.0,Paper,343.0,383.0,93.0,284.0,69.0,6622.0
3.0,Standing,8008.0,6.0,7.0,16.0,110.0,12.0
3.0,Sitting,58.0,10026.0,617.0,1.0,13.0,1.0
3.0,Pointing,544.0,250.0,4336.0,1.0,1.0,3.0
3.0,Phone,3885.0,3.0,1.0,2699.0,223.0,52.0
3.0,Tablet,1580.0,5.0,4.0,556.0,5958.0,15.0
3.0,Paper,1574.0,421.0,74.0,48.0,129.0,5698.0
4.0,Standing,6515.0,9.0,3.0,47.0,71.0,14.0
4.0,Sitting,90.0,8555.0,904.0,2.0,13.0,3.0
4.0,Pointing,529.0,97.0,4923.0,0.0,0.0,5.0
4.0,Phone,2956.0,6.0,4.0,2821.0,96.0,17.0
4.0,Tablet,1781.0,5.0,2.0,1012.0,3603.0,27.0
4.0,Paper,853.0,19.0,4.0,147.0,18.0,5788.0
